"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料年度","政府機構(%)","政府機構增減","僑外投資(%)","僑外投資增減","本國金融機構(%)","本國金融機構增減","本國法人(%)","本國法人增減","本國個人(%)","本國個人增減","庫藏股票(%)","庫藏股票增減"
"301",="3006","晶豪科","157","-7","-4.27","2021","0.31","+0.08","13.8","-2.88","4.62","+3.46","11.4","-0.11","69.9","-0.56","0","0"
"302",="3703","欣陸","25.35","-0.1","-0.39","2021","0.45","+0.06","20","-1.06","4.58","+3.74","41.1","-1","33.9","-1.74","0","0"
"303",="1701","中化","22.4","-0.1","-0.44","2021","0","0","9.5","-0.09","4.56","+0.12","20.6","+0.59","65.4","-0.62","0","0"
"304",="1710","東聯","22.75","-0.65","-2.78","2021","0.03","-0.07","9.11","-0.6","4.55","-1.9","50.3","-0.62","36","+3.17","0","0"
"305",="6155","鈞寶","25.4","-0.1","-0.39","2021","0","0","0.59","-1.92","4.51","-0.04","29.1","-0.05","65.8","+2.01","0","0"
"306",="2845","遠東銀","10.75","-0.1","-0.92","2021","0.44","+0.05","10.6","-1.74","4.5","+0.44","50.8","+0.05","33.7","+1.19","0","0"
"307",="3714","富采","79","-0.1","-0.13","2021","6.45","","17.5","","4.49","","14.1","","57.5","","0",""
"308",="2441","超豐","80","-1.7","-2.08","2021","1.2","+0.66","17","+1.76","4.46","-6.52","49.9","+0.73","27.5","+3.37","0","0"
"309",="8261","富鼎","114","+1","+0.88","2021","0","0","10.4","-16","4.45","+4.45","6.37","-1.14","78.8","+12.6","0","0"
"310",="3092","鴻碩","55.6","-0.4","-0.71","2021","0","0","1.84","+0.09","4.42","+4.42","18.6","+6.65","75.2","-11.2","0","0"
"311",="9962","有益","16.4","-0.35","-2.09","2021","0","0","0.11","+0.11","4.42","-0.02","24.6","-0.24","70.8","+0.15","0","0"
"312",="2603","長榮","117","-2","-1.68","2021","2.64","-3.96","30.9","+7.69","4.36","-3.24","9.82","-0.37","52.3","-0.13","0","0"
"313",="4931","新盛力","19.3","-0.15","-0.77","2021","0","0","34.6","-1.93","4.36","-0.07","8.87","-0.72","52.2","+2.72","0","0"
"314",="2231","為升","176","-2.5","-1.4","2021","0.07","-0.59","8.19","-0.74","4.34","+1.6","26.7","+0.31","60.7","+0.37","0","-0.95"
"315",="1583","程泰","62.5","+0.2","+0.32","2021","0","0","0.23","+0.18","4.31","+0.04","45.6","+0.64","49.8","-0.86","0","0"
"316",="6488","環球晶","810","+2","+0.25","2021","2.69","+0.55","34.3","+4.04","4.28","+0.1","52","-0.21","6.26","-4.48","0.46","0"
"317",="4557","永新-KY","65.2","0","0","2021","0","0","40.1","-0.4","4.26","+0.29","2.37","-0.08","53.2","+0.19","0","0"
"318",="2542","興富發","46.65","+0.05","+0.11","2021","0.03","-0.11","13.5","-5.3","4.24","+3.58","39.7","+0.69","42.5","+1.14","0","0"
"319",="3675","德微","271.5","+24.5","+9.92","2021","0","0","54.3","-44.6","4.21","+4.21","1.24","+0.09","40.3","+40.3","0","0"
"320",="2915","潤泰全","107.5","-3","-2.71","2021","0.05","-0.79","10.4","-7.5","4.2","-2.3","49.6","+3.46","35.7","+7.12","0","0"
"321",="1737","臺鹽","33.35","-0.1","-0.3","2021","38.9","0","9.63","+0.3","4.19","-0.17","9.42","+0.17","37.9","-0.3","0","0"
"322",="2330","台積電","618","+5","+0.82","2021","6.38","0","74.7","-1.15","4.16","-0.65","3.96","-0.24","10.8","+2.04","0","0"
"323",="3548","兆利","58.5","-1.5","-2.5","2021","0","0","4","-6.86","4.12","+0.88","25.4","-1.07","66.5","+7.06","0","0"
"324",="4743","合一","283","+0.5","+0.18","2021","0","0","11.6","+11","4.09","-0.3","32.6","-6.05","51.8","-4.66","0","0"
"325",="5013","強新","37.8","-0.05","-0.13","2021","0","0","2.87","+0.01","4.09","+0.16","43.8","+1.47","49.2","-1.64","0","0"
"326",="6195","詩肯","53.5","-0.5","-0.93","2021","0","0","46.5","-0.51","4.09","-0.24","7.02","+0.19","42.4","+0.56","0","0"
"327",="6182","合晶","67.3","-0.4","-0.59","2021","0","0","10.7","-0.54","4.09","+0.42","6.79","+1.66","78.4","-1.53","0","0"
"328",="5215","科嘉-KY","72.2","-0.4","-0.55","2021","1.1","+1.1","24.5","-5.63","4.06","-4.58","1.57","+1.23","68.8","+7.88","0","0"
"329",="1515","力山","64","-0.3","-0.47","2021","0","0","11.7","+4.12","4.04","+0.19","30.3","+19.8","53.9","-24.1","0","0"
"330",="6706","惠特","209.5","0","0","2021","0","0","7.02","+2.51","4.03","+4.03","27.3","-5.07","61.7","-1.46","0","0"
"331",="9905","大華","26.3","+0.05","+0.19","2021","0","0","3.06","-0.3","4.01","+0.03","60.3","-0.03","32.7","+0.29","0","0"
"332",="6728","上洋","89.7","+0.1","+0.11","2021","0","0","0.2","+0.2","4","-2.28","39","-0.02","56.8","+2.1","0","0"
"333",="8289","泰藝","36.8","-0.8","-2.13","2021","0","0","1.23","-0.04","3.99","+0.25","13.8","-2.37","81","+2.15","0","0"
